video_id,title,category,description,tags,channel,views,likes
V03407,SQL for Beginners Explained for Beginners,SQL,"This video breaks down sql for beginners into simple, easy-to-follow steps. You'll see practical examples involving tables and nosql. You'll also learn how tables connects to other important concepts.","indexing, database, sql, sql for beginners, joins, walkthrough, howto, relational database",Quantum Coders,837156,19218
V00758,Data Science Projects Best Practices,Data Science,"In this tutorial, we explore data science projects and how it applies in real projects. You'll see practical examples involving data analysis and functions. By the end of this video, you'll be able to apply dataset confidently in your own projects.","dataset, data, insights, tutorial, statistics, howto, data science projects, data science",PeakProductivity,43330,3875
V03625,Mastering Building Scalable Cloud Applications in 2024,Cloud Computing,"We take a deep dive into building scalable cloud applications, covering the concepts you need to know. You'll see practical examples involving azure and aws. By the end of this video, you'll be able to apply azure confidently in your own projects.","howto, cloud computing, virtual machines, building scalable cloud applications, aws, walkthrough, cloud platform, deployment, server",LearnWithCode,298869,27734
V04545,Self-Taught Developer Roadmap Made Simple,Education,"This video breaks down self-taught developer roadmap into simple, easy-to-follow steps. You'll see practical examples involving learning and students. We wrap up with a short recap of the key students concepts covered.","study tips, skill building, self-improvement, education, learning, online courses, self-taught developer roadmap, walkthrough, beginners",FutureTech Studio,271653,18951
V03236,Node.js Basics Deep Dive,Node.js,"We take a deep dive into node.js basics, covering the concepts you need to know. You'll see practical examples involving css and api. This video is great for building a strong foundation in backend.","node.js, api, html, express, walkthrough, node.js basics, howto, middleware, backend",Quantum Coders,5392,337
V01869,Prompt Engineering Basics in Practice,Generative AI,"Get a clear, beginner-friendly explanation of prompt engineering basics in this video. You'll see practical examples involving prompt engineering and deep learning. Ideal for students and professionals wanting to improve their generative ai skills.","ai content, generative ai, large language models, neural network, tutorial, deep learning, 2024, prompt engineering basics",FutureTech Studio,130314,12794
V02917,Introduction to JavaScript Promises and Async/Await,JavaScript,"In this tutorial, we explore javascript promises and async/await and how it applies in real projects. You'll see practical examples involving javascript and events. We also cover common mistakes to avoid when working with dom.","guide, javascript promises and async/await, variables, events, javascript, beginners, css, functions, html",The Dev Journey,12962,1107
V03336,Advanced SQL Basics Guide,SQL,A practical walkthrough of sql basics designed for learners at any level. You'll see practical examples involving sql and relational database. Perfect for anyone looking to strengthen their skills in joins.,"indexing, joins, database, sql, guide, relational database, 2024, sql basics",ShutterStory,10315,172
V03528,Understanding Database Indexing Explained,Database,Follow along as we explain database indexing explained step by step with live coding. You'll see practical examples involving data storage and sql. Includes practical tips on tables that you can use right away.,"database, nosql, guide, joins, walkthrough, schema, indexing, relational database, database indexing explained, beginners",FitForge Coaching,289917,8742
V02828,JavaScript ES6 Features From Scratch,JavaScript,"Get a clear, beginner-friendly explanation of javascript es6 features in this video. You'll see practical examples involving html and functions. Ideal for students and professionals wanting to improve their dom skills.","css, javascript es6 features, functions, async, javascript, dom, beginners, tutorial",VisionaryAI,159402,22790
V04393,Building a Career in Data Science: A Practical Guide,Career,"This hands-on guide to building a career in data science focuses on practical, real-world usage. You'll see practical examples involving career growth and career. You'll also learn how job search connects to other important concepts.","career growth, 2024, building a career in data science, career, resume, tutorial, networking, career change, job search",GameDev Central,15903,1183
V03485,Introduction to MongoDB Basics,Database,A practical walkthrough of mongodb basics designed for learners at any level. You'll see practical examples involving data storage and schema. You'll also learn how query connects to other important concepts.,"relational database, guide, mongodb basics, nosql, beginners, database, indexing, sql, walkthrough",FitForge Coaching,82059,7026
V02962,JavaScript Promises and Async/Await Deep Dive,JavaScript,Learn javascript promises and async/await from the ground up with hands-on demonstrations. You'll see practical examples involving async and functions. Includes practical tips on javascript that you can use right away.,"tips, beginners, javascript, 2024, events, dom, javascript promises and async/await, async",SkillForge Tech,136429,11525
V03216,Node.js and Express Tutorial From Scratch,Node.js,"In this tutorial, we explore node.js and express tutorial and how it applies in real projects. You'll see practical examples involving middleware and html. You'll also learn how javascript connects to other important concepts.","tutorial, 2024, node.js and express tutorial, server, beginners, express, node.js, backend, javascript",PixelPerfect UX,184416,21096
V04302,Resume Tips for Developers for Absolute Beginners,Career,A practical walkthrough of resume tips for developers designed for learners at any level. You'll see practical examples involving career growth and resume. We wrap up with a short recap of the key interview concepts covered.,"interview, job market, career, resume tips for developers, career growth, 2024, resume, walkthrough, job search, networking",AlgoMinds,17249,2183
